sigma		mu		energy
0.233		1.9		8.76422
0.233		1.92		10.1097
0.233		1.94		10.0009
0.233		1.96		10.4215
0.233		1.98		10.3971
0.252		0		3.71175
0.252		0.02		3.66385
0.252		0.04		4.07393
0.252		0.06		3.98412
0.252		0.08		3.58385
0.252		0.1		3.05102
0.252		0.12		3.01644
0.252		0.14		2.95706
0.252		0.16		2.42657
0.252		0.18		2.22322
0.252		0.2		2.13508
0.252		0.22		1.66894
0.252		0.24		1.82871
0.252		0.26		1.41503
0.252		0.28		1.43337
0.252		0.3		1.55243
0.252		0.32		1.50429
0.252		0.34		1.59059
0.252		0.36		1.77459
0.252		0.38		1.75465
0.252		0.4		1.9651
0.252		0.42		2.10366
0.252		0.44		2.21922
0.252		0.46		2.68748
0.252		0.48		2.58668
0.252		0.5		2.83055
0.252		0.52		2.66017
0.252		0.54		2.85603
0.252		0.56		2.77059
0.252		0.58		2.98764
0.252		0.6		2.5626
0.252		0.62		2.90036
0.252		0.64		2.98616
0.252		0.66		2.8895
0.252		0.68		3.11753
0.252		0.7		2.7337
0.252		0.72		3.09874
0.252		0.74		3.00972
0.252		0.76		2.92263
0.252		0.78		2.97111
0.252		0.8		2.50856
0.252		0.82		2.79925
0.252		0.84		2.73304
0.252		0.86		2.49618
0.252		0.88		2.52093
0.252		0.9		2.44078
0.252		0.92		2.61632
0.252		0.94		2.49079
0.252		0.96		2.67062
0.252		0.98		2.44417
0.252		1		2.58672
0.252		1.02		2.76519
0.252		1.04		2.62327
0.252		1.06		2.34665
0.252		1.08		2.69683
0.252		1.1		2.4944
0.252		1.12		2.6524
0.252		1.14		2.3094
0.252		1.16		2.46769
0.252		1.18		2.37269
0.252		1.2		2.25401
0.252		1.22		2.76365
0.252		1.24		2.72309
0.252		1.26		2.65877
0.252		1.28		2.68973
0.252		1.3		3.03644
0.252		1.32		2.694
0.252		1.34		3.03926
0.252		1.36		3.02928
0.252		1.38		3.26976
0.252		1.4		3.09195
0.252		1.42		3.20158
0.252		1.44		3.31695
0.252		1.46		3.58253
0.252		1.48		3.55715
0.252		1.5		3.66694
0.252		1.52		3.7542
0.252		1.54		3.8334
0.252		1.56		4.03854
0.252		1.58		4.49169
0.252		1.6		4.62229
0.252		1.62		4.47477
0.252		1.64		5.24869
0.252		1.66		5.38632
0.252		1.68		5.22331
0.252		1.7		5.86859
0.252		1.72		5.96088
0.252		1.74		5.71293
0.252		1.76		6.56557
0.252		1.78		6.85885
0.252		1.8		6.77348
0.252		1.82		7.28524
0.252		1.84		7.34383
0.252		1.86		7.97951
0.252		1.88		8.30865
0.252		1.9		8.40285
0.252		1.92		9.10468
0.252		1.94		9.32005
0.252		1.96		9.93796
0.252		1.98		10.1133
0.271		0		3.27328
0.271		0.02		3.53279
0.271		0.04		3.13665
0.271		0.06		3.03047
0.271		0.08		2.93369
0.271		0.1		2.828
0.271		0.12		2.79633
0.271		0.14		2.39866
0.271		0.16		2.17125
0.271		0.18		2.05619
0.271		0.2		1.9208
0.271		0.22		1.77987
0.271		0.24		1.5365
0.271		0.26		1.49888
0.271		0.28		1.2689
0.271		0.3		1.48654
0.271		0.32		1.30907
0.271		0.34		1.32044
0.271		0.36		1.16958
0.271		0.38		1.40183
0.271		0.4		1.49692
0.271		0.42		1.43381
0.271		0.44		1.7395
0.271		0.46		2.02216
0.271		0.48		1.95684
0.271		0.5		2.02892
0.271		0.52		2.07778
0.271		0.54		2.13953
0.271		0.56		2.29937
0.271		0.58		2.13225
0.271		0.6		2.45284
0.271		0.62		2.56516
0.271		0.64		2.27489
0.271		0.66		2.27521
0.271		0.68		2.20666
0.271		0.7		2.16918
0.271		0.72		2.53952
0.271		0.74		2.33614
0.271		0.76		2.19812
0.271		0.78		2.20484
0.271		0.8		2.12216
0.271		0.82		2.38089
0.271		0.84		2.17436
0.271		0.86		2.20611
0.271		0.88		2.02638
0.271		0.9		2.11326
0.271		0.92		2.19825
0.271		0.94		2.16741
0.271		0.96		1.85109
0.271		0.98		1.957
0.271		1		2.08765
0.271		1.02		1.92303
0.271		1.04		2.01738
0.271		1.06		2.00421
0.271		1.08		1.95555
0.271		1.1		2.03956
0.271		1.12		2.08199
0.271		1.14		2.04781
0.271		1.16		1.8957
0.271		1.18		2.07926
0.271		1.2		1.81523
0.271		1.22		2.44147
0.271		1.24		2.21214
0.271		1.26		2.05376
0.271		1.28		2.18077
0.271		1.3		2.4762
0.271		1.32		2.62261
0.271		1.34		2.56401
0.271		1.36		2.74161
0.271		1.38		2.77807
0.271		1.4		2.76319
0.271		1.42		2.66827
0.271		1.44		2.70095
0.271		1.46		2.98373
0.271		1.48		3.13551
0.271		1.5		3.24456
0.271		1.52		3.45911
0.271		1.54		3.51124
0.271		1.56		3.34004
0.271		1.58		3.77919
0.271		1.6		4.12396
0.271		1.62		4.21535
0.271		1.64		4.10876
0.271		1.66		4.62399
0.271		1.68		4.75568
0.271		1.7		4.93228
0.271		1.72		5.36055
0.271		1.74		5.397
0.271		1.76		6.13173
0.271		1.78		6.14897
0.271		1.8		6.62411
0.271		1.82		6.71817
0.271		1.84		6.74468
0.271		1.86		7.25005
0.271		1.88		7.73509
0.271		1.9		8.29838
0.271		1.92		8.56963
0.271		1.94		9.30625
0.271		1.96		8.92083
0.271		1.98		10.148
0.29		0		2.69895
0.29		0.02		2.7439
0.29		0.04		3.11104
0.29		0.06		2.73214
0.29		0.08		2.72355
0.29		0.1		2.38747
0.29		0.12		2.31523
0.29		0.14		2.28573
0.29		0.16		2.11948
0.29		0.18		1.89979
0.29		0.2		1.72019
0.29		0.22		1.61618
0.29		0.24		1.43022
0.29		0.26		1.26881
0.29		0.28		1.17641
0.29		0.3		1.17752
0.29		0.32		1.06607
0.29		0.34		0.802555
0.29		0.36		1.1035
0.29		0.38		1.06388
0.29		0.4		1.07324
0.29		0.42		1.07677
0.29		0.44		1.41506
0.29		0.46		1.33208
0.29		0.48		1.42616
0.29		0.5		1.58689
0.29		0.52		1.73169
0.29		0.54		1.71612
0.29		0.56		1.83731
0.29		0.58		1.86054
0.29		0.6		2.06717
0.29		0.62		2.09664
0.29		0.64		1.88904
0.29		0.66		1.93711
0.29		0.68		1.94079
0.29		0.7		1.73635
0.29		0.72		1.69549
0.29		0.74		1.98219
0.29		0.76		1.89425
0.29		0.78		1.83022
0.29		0.8		1.75783
0.29		0.82		1.93483
0.29		0.84		1.7033
0.29		0.86		1.70117
0.29		0.88		1.76846
0.29		0.9		1.73205
0.29		0.92		1.57778
0.29		0.94		1.90586
0.29		0.96		1.69345
0.29		0.98		1.64978
0.29		1		1.64845
0.29		1.02		1.69879
0.29		1.04		1.3774
0.29		1.06		1.42741
0.29		1.08		1.58102
0.29		1.1		1.51561
0.29		1.12		1.55944
0.29		1.14		1.5743
0.29		1.16		1.74361
0.29		1.18		1.6478
0.29		1.2		1.61109
0.29		1.22		1.67061
0.29		1.24		1.80761
0.29		1.26		1.77364
0.29		1.28		2.06165
0.29		1.3		1.94694
0.29		1.32		2.20734
0.29		1.34		2.03189
0.29		1.36		2.09516
0.29		1.38		2.28021
0.29		1.4		2.25117
0.29		1.42		2.20731
0.29		1.44		2.48389
0.29		1.46		2.74913
0.29		1.48		2.92083
0.29		1.5		2.83978
0.29		1.52		2.94042
0.29		1.54		3.22851
0.29		1.56		3.31156
